0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:59:14 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 4984
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:59:14 +0530] "GET /DTProjectsBootStrap/resources/css/Mycss.css HTTP/1.1" 200 632
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:59:14 +0530] "GET /DTProjectsBootStrap/resources/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:59:14 +0530] "GET /DTProjectsBootStrap/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:59:14 +0530] "GET /DTProjectsBootStrap/resources/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:59:14 +0530] "GET /DTProjectsBootStrap/resources/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:59:50 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 4801
0:0:0:0:0:0:0:1 - - [25/Oct/2017:12:59:50 +0530] "GET /DTProjectsBootStrap/resources/css/Mycss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:00:51 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:00:51 +0530] "GET /DTProjectsBootStrap/resources/css/Mycss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:00:52 +0530] "GET /DTProjectsBootStrap/resources/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:00:52 +0530] "GET /DTProjectsBootStrap/resources/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:01:10 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:01:10 +0530] "GET /DTProjectsBootStrap/resources/css/Mycss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:01:48 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 4811
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:01:48 +0530] "GET /DTProjectsBootStrap/resources/css/Mycss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:01:48 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:01:48 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:02:42 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 4911
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:02:42 +0530] "GET /DTProjectsBootStrap/resources/css/Mycss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:02:42 +0530] "GET /DTProjectsBootStrap/resources/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:02:42 +0530] "GET /DTProjectsBootStrap/resources/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:02:43 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:03:20 +0530] "GET /DTProjectsBootStrap/HomePage.html HTTP/1.1" 200 4875
0:0:0:0:0:0:0:1 - - [25/Oct/2017:13:03:20 +0530] "GET /DTProjectsBootStrap/resources/css/Mycss.css HTTP/1.1" 304 -
